Year,Season,Rk,Team,G,Pts/G,TotPts,Yds,Net Yds,Lng,Avg,Net Avg,Blk,Punts,OOB,Dn,TB,FC,Ret,IN 20,RetY,TD
2016,Reg,15,Arizona Cardinals,16,26.1,418,"3,269","2,919",62,40.9,36.5,2,78,4,10,2,29,33,25,310,0
2016,Reg,16,New York Jets,16,17.2,275,"3,236","2,837",59,42.6,37.3,1,75,6,8,4,22,35,24,319,0
2016,Reg,17,New England Patriots,16,27.6,441,"3,217","2,983",57,44.7,41.4,0,72,7,14,5,19,27,23,134,0
2016,Reg,18,Tampa Bay Buccaneers,16,22.1,354,"3,215","2,987",59,45.9,42.7,0,70,3,9,5,29,24,37,128,0
2016,Reg,19,Buffalo Bills,16,24.9,399,"3,183","2,861",58,42.4,38.1,0,75,18,7,3,8,39,20,262,0
2016,Reg,20,Minnesota Vikings,16,20.4,327,"3,155","2,886",72,42.6,39,0,74,3,14,3,28,26,34,209,0
2016,Reg,21,Seattle Seahawks,16,22.1,354,"3,126","2,830",64,43.4,39.3,1,71,7,11,3,22,28,26,236,0
2016,Reg,22,Pittsburgh Steelers,16,24.9,399,"3,100","2,771",64,44.9,40.2,1,68,11,9,3,17,28,25,269,0
2016,Reg,23,Detroit Lions,16,21.6,346,"3,010","2,740",63,48.5,44.2,0,62,3,7,3,14,35,23,210,0
2016,Reg,24,Chicago Bears,16,17.4,279,"2,994","2,612",67,44,38.4,0,68,5,5,5,31,22,24,282,1
2016,Reg,25,Philadelphia Eagles,16,22.9,367,"2,888","2,566",72,45.8,40.7,0,63,6,11,6,15,25,21,202,1
2016,Reg,26,New Orleans Saints,16,29.3,469,"2,751","2,414",66,48.3,42.4,0,57,8,8,5,7,29,22,237,0
2016,Reg,27,San Diego Chargers,16,25.6,410,"2,731","2,349",69,46.3,39.8,0,59,5,6,5,10,33,18,282,1
2016,Reg,28,Indianapolis Colts,16,25.7,411,"2,711","2,392",74,48.4,42.7,1,55,7,5,9,17,17,19,139,0
2016,Reg,29,Dallas Cowboys,16,26.3,421,"2,661","2,389",66,45.1,40.5,1,58,10,5,4,17,22,25,192,0
2016,Reg,30,Green Bay Packers,16,27,432,"2,420","2,189",65,43.2,39.1,0,56,11,7,4,18,16,19,151,0
2016,Reg,31,Atlanta Falcons,16,33.8,540,"2,243","2,002",68,46.7,41.7,0,48,1,5,1,18,23,21,221,0
